,book_id,chap_id,term_str,n,tfidf
0,5200,1,a,108,0.0
1,5200,1,abandoning,1,0.009230001344332838
2,5200,1,able,7,0.00586848089638421
3,5200,1,about,16,0.008272736640920004
4,5200,1,above,2,0.0031547971921247584
5,5200,1,accept,1,0.0033106823484827974
6,5200,1,accurately,1,0.009230001344332838
7,5200,1,accusations,1,0.010753341189960849
8,5200,1,accuse,1,0.013357507856627517
9,5200,1,achieved,1,0.004523347901474495
10,5200,1,achievementsalthough,1,0.01596167452329418
11,5200,1,acquired,1,0.007310820109525011
12,5200,1,across,3,0.009932047045448393
13,5200,1,adhesive,1,0.013357507856627517
14,5200,1,adjoining,1,0.009914986776191678
15,5200,1,afraid,2,0.004790779433937587
16,5200,1,after,9,0.005780624240229495
17,5200,1,again,8,0.004136368320460002
18,5200,1,against,11,0.007065207404724938
19,5200,1,ago,2,0.00499665633074299
20,5200,1,air,4,0.008790424980028314
21,5200,1,alarm,3,0.014119960328575033
22,5200,1,all,41,0.009063658336059975
23,5200,1,allow,1,0.0037209460906350894
24,5200,1,allowed,2,0.004204973552383354
25,5200,1,almost,3,0.002718150807971147
26,5200,1,along,3,0.0031356450186075563
27,5200,1,already,10,0.006422915822477217
28,5200,1,alright,3,0.02444752356988255
29,5200,1,also,6,0.005436301615942294
30,5200,1,although,3,0.0023155703342205066
31,5200,1,always,4,0.002316587722254667
32,5200,1,am,1,0.001417501344332839
33,5200,1,amazed,1,0.006625834677666172
34,5200,1,among,1,0.002498328165371495
35,5200,1,an,11,0.002431713212113652
36,5200,1,and,181,0.0
37,5200,1,anew,1,0.013357507856627517
38,5200,1,anger,1,0.006046687747102505
39,5200,1,angle,1,0.008149174523294183
40,5200,1,animal,1,0.006625834677666172
41,5200,1,anna,2,0.026715015713255033
42,5200,1,annoyed,1,0.0055450078566275166
43,5200,1,answer,2,0.00401943235586918
44,5200,1,answered,1,0.004181565262729046
45,5200,1,answering,1,0.007706661498704828
46,5200,1,anxious,1,0.0048993632903681795
47,5200,1,any,16,0.011304250909058096
48,5200,1,anyone,1,0.001189733528576747
49,5200,1,anything,2,0.001413031363632262
50,5200,1,anyway,2,0.004790779433937587
51,5200,1,apart,2,0.005426146748409515
52,5200,1,appeals,2,0.023668336021999012
53,5200,1,appear,1,0.003868299029089171
54,5200,1,arches,1,0.013357507856627517
55,5200,1,arduous,1,0.011834168010999506
56,5200,1,are,4,0.0011137000407969986
57,5200,1,arent,1,0.004706653442858344
58,5200,1,arm,1,0.0018307767245908035
59,5200,1,armour,1,0.011834168010999506
60,5200,1,arms,5,0.007482996943585013
61,5200,1,army,1,0.009230001344332838
62,5200,1,around,5,0.0022797748249751486
63,5200,1,arrive,1,0.005317240040871423
64,5200,1,as,78,0.01283624600521126
65,5200,1,ask,1,0.0019191812348078286
66,5200,1,asked,2,0.001413031363632262
67,5200,1,assistant,2,0.010634480081742847
68,5200,1,astonished,2,0.013905476032852443
69,5200,1,at,56,0.012379630898033138
70,5200,1,attack,1,0.005317240040871423
71,5200,1,attention,3,0.004979921254806967
72,5200,1,austere,1,0.01596167452329418
73,5200,1,avoid,2,0.007158309972820302
74,5200,1,aware,5,0.01655341174241399
75,5200,1,away,10,0.0057914693056366675
76,5200,1,awful,1,0.009914986776191678
77,5200,1,awkwardly,1,0.010753341189960849
78,5200,1,back,30,0.010100235698825505
79,5200,1,backwards,3,0.019877504032998518
80,5200,1,bad,1,0.002102486776191677
81,5200,1,balance,1,0.007310820109525011
82,5200,1,banging,1,0.009914986776191678
83,5200,1,banister,2,0.03192334904658836
84,5200,1,barricade,1,0.01596167452329418
85,5200,1,basis,1,0.007310820109525011
86,5200,1,be,47,0.002540761270415318
87,5200,1,bearing,1,0.0069527380164262215
88,5200,1,became,4,0.00999331266148598
89,5200,1,because,11,0.005687506440632503
90,5200,1,become,8,0.013955237464743107
91,5200,1,bed,20,0.03488809366185777
92,5200,1,bedding,1,0.010753341189960849
93,5200,1,bedpost,1,0.008650854413769171
94,5200,1,bedthe,1,0.013357507856627517
95,5200,1,bedwhere,1,0.01596167452329418
96,5200,1,been,26,0.015057820194655333
97,5200,1,before,8,0.005138332657981773
98,5200,1,beforeperhaps,1,0.01596167452329418
99,5200,1,beg,1,0.005787480263897
100,5200,1,began,5,0.008722023415464443
101,5200,1,begun,1,0.005317240040871423
102,5200,1,behalf,2,0.01209337549420501
103,5200,1,behaviour,1,0.004021668010999506
104,5200,1,behind,4,0.003353417655076691
105,5200,1,being,6,0.005030126482615037
106,5200,1,believe,1,0.0017444046830928884
107,5200,1,believed,1,0.005102494832038161
108,5200,1,believing,1,0.008149174523294183
109,5200,1,belly,2,0.015413322997409657
110,5200,1,below,1,0.004181565262729046
111,5200,1,bend,2,0.012650225514603514
112,5200,1,beside,1,0.0021976062450070784
113,5200,1,besides,1,0.004181565262729046
114,5200,1,best,1,0.001417501344332839
115,5200,1,better,9,0.010707601757190724
116,5200,1,between,2,0.0019499766394869681
117,5200,1,big,1,0.0030601216316616963
118,5200,1,bit,2,0.007441892181270179
119,5200,1,black,1,0.0037209460906350894
120,5200,1,bleeding,1,0.010753341189960849
121,5200,1,blow,2,0.013905476032852443
122,5200,1,blown,1,0.009230001344332838
123,5200,1,boa,1,0.013357507856627517
124,5200,1,body,11,0.032349253089569346
125,5200,1,bolted,1,0.010753341189960849
126,5200,1,boots,1,0.006325112757301757
127,5200,1,boss,7,0.0539466304909338
128,5200,1,bosss,2,0.03192334904658836
129,5200,1,both,2,0.002379467057153494
130,5200,1,bound,1,0.004523347901474495
131,5200,1,breadth,1,0.008149174523294183
132,5200,1,break,1,0.003868299029089171
133,5200,1,breakfast,5,0.028937401319485002
134,5200,1,breakfasts,1,0.010753341189960849
135,5200,1,breast,1,0.005102494832038161
136,5200,1,breath,1,0.004021668010999506
137,5200,1,breathing,1,0.0048993632903681795
138,5200,1,bring,2,0.004590393247403025
139,5200,1,bringing,1,0.005102494832038161
140,5200,1,broad,2,0.00904669580294899
141,5200,1,brown,3,0.023119984496114486
142,5200,1,building,1,0.0043485713497595545
143,5200,1,bulk,1,0.008650854413769171
144,5200,1,burning,1,0.009230001344332838
145,5200,1,business,9,0.018922380985725094
146,5200,1,businessman,1,0.009914986776191678
147,5200,1,but,56,0.003027290024324635
148,5200,1,by,14,0.0030949077245082846
149,5200,1,call,1,0.0027130733742047573
150,5200,1,called,9,0.016476990521317233
151,5200,1,calledit,1,0.01596167452329418
152,5200,1,calling,1,0.004706653442858344
153,5200,1,calm,3,0.009932047045448393
154,5200,1,calmed,2,0.014621640219050021
155,5200,1,calmer,1,0.008650854413769171
156,5200,1,calmly,1,0.0037209460906350894
157,5200,1,calmness,1,0.010753341189960849
158,5200,1,came,5,0.004191772068845864
159,5200,1,can,8,0.0017685186997190194
160,5200,1,cannot,1,0.0034425210804358394
161,5200,1,cant,2,0.003661553449181607
162,5200,1,care,1,0.0031833135972303334
163,5200,1,career,1,0.007706661498704828
164,5200,1,carefree,1,0.009230001344332838
165,5200,1,careful,1,0.0048993632903681795
166,5200,1,carefully,4,0.011300926016526176
167,5200,1,carelessly,1,0.009230001344332838
168,5200,1,carpet,5,0.04325427206884586
169,5200,1,carry,3,0.008139220122614272
170,5200,1,case,1,0.0019191812348078286
171,5200,1,catch,2,0.00904669580294899
172,5200,1,caught,2,0.008363130525458092
173,5200,1,cause,1,0.0031833135972303334
174,5200,1,caused,2,0.007441892181270179
175,5200,1,causing,3,0.019877504032998518
176,5200,1,cautious,2,0.015413322997409657
177,5200,1,certainly,3,0.004252504032998517
178,5200,1,chair,3,0.008475694512394633
179,5200,1,chance,1,0.0023953897169687933
180,5200,1,change,3,0.00918036489498509
181,5200,1,chaos,1,0.011834168010999506
182,5200,1,cheer,1,0.010753341189960849
183,5200,1,chest,4,0.01809339160589798
184,5200,1,chief,36,0.1996202828385906
185,5200,1,chilly,1,0.010753341189960849
186,5200,1,chin,1,0.006625834677666172
187,5200,1,choice,1,0.005317240040871423
188,5200,1,chose,1,0.007706661498704828
189,5200,1,chosen,1,0.006046687747102505
190,5200,1,circumstances,1,0.0031833135972303334
191,5200,1,claim,1,0.006046687747102505
192,5200,1,clapping,1,0.008650854413769171
193,5200,1,clear,4,0.006977618732371554
194,5200,1,clearer,1,0.008650854413769171
195,5200,1,clearly,2,0.003661553449181607
196,5200,1,clenched,1,0.008149174523294183
197,5200,1,clerk,33,0.20872872099095796
198,5200,1,clerks,3,0.027690004032998518
199,5200,1,clever,1,0.005317240040871423
200,5200,1,climb,1,0.005102494832038161
201,5200,1,clock,4,0.025300451029207027
202,5200,1,close,2,0.0025282647248450084
203,5200,1,coffee,3,0.025952563241307517
204,5200,1,cold,2,0.007441892181270179
205,5200,1,collection,2,0.021506682379921697
206,5200,1,come,6,0.002375048335078907
207,5200,1,commerce,1,0.013357507856627517
208,5200,1,commercial,1,0.010753341189960849
209,5200,1,communicated,1,0.011834168010999506
210,5200,1,company,3,0.015307484496114484
211,5200,1,compared,1,0.006046687747102505
212,5200,1,complaints,1,0.0069527380164262215
213,5200,1,completely,3,0.00882252356988255
214,5200,1,concede,1,0.009914986776191678
215,5200,1,concentration,2,0.026715015713255033
216,5200,1,concern,3,0.014119960328575033
217,5200,1,conclusions,2,0.019829973552383355
218,5200,1,condemned,1,0.009914986776191678
219,5200,1,condition,1,0.005102494832038161
220,5200,1,confidence,2,0.014621640219050021
221,5200,1,confident,1,0.009230001344332838
222,5200,1,confused,1,0.0043485713497595545
223,5200,1,congratulated,1,0.01596167452329418
224,5200,1,connections,1,0.005787480263897
225,5200,1,conscience,1,0.010753341189960849
226,5200,1,consciousness,1,0.009230001344332838
227,5200,1,consider,2,0.00904669580294899
228,5200,1,consideration,1,0.004523347901474495
229,5200,1,considerations,1,0.008149174523294183
230,5200,1,considering,1,0.0048993632903681795
231,5200,1,contact,1,0.0055450078566275166
232,5200,1,contented,1,0.008149174523294183
233,5200,1,continued,1,0.0043485713497595545
234,5200,1,continuously,1,0.009230001344332838
235,5200,1,contract,1,0.011834168010999506
236,5200,1,contracts,1,0.013357507856627517
237,5200,1,contrast,2,0.01209337549420501
238,5200,1,control,1,0.004706653442858344
239,5200,1,controlled,1,0.009914986776191678
240,5200,1,conversation,2,0.004590393247403025
241,5200,1,convinced,2,0.009413306885716687
242,5200,1,copy,1,0.009914986776191678
243,5200,1,coughed,1,0.013357507856627517
244,5200,1,coughs,1,0.013357507856627517
245,5200,1,could,33,0.015046513844835978
246,5200,1,couldnt,4,0.00663989500640929
247,5200,1,couple,1,0.004523347901474495
248,5200,1,course,2,0.0012845831644954433
249,5200,1,cover,1,0.005787480263897
250,5200,1,covered,3,0.011162838271905269
251,5200,1,covers,1,0.009230001344332838
252,5200,1,cried,2,0.005650463008263088
253,5200,1,cross,1,0.003868299029089171
254,5200,1,crouched,1,0.010753341189960849
255,5200,1,crucial,1,0.007706661498704828
256,5200,1,cry,1,0.004021668010999506
257,5200,1,crying,2,0.012650225514603514
258,5200,1,curious,1,0.007310820109525011
259,5200,1,curse,1,0.008650854413769171
260,5200,1,curtains,1,0.007310820109525011
261,5200,1,cut,1,0.0043485713497595545
262,5200,1,damage,1,0.0069527380164262215
263,5200,1,danced,1,0.010753341189960849
264,5200,1,danger,2,0.008363130525458092
265,5200,1,daring,1,0.0069527380164262215
266,5200,1,day,5,0.0055838971198421145
267,5200,1,debt,2,0.021506682379921697
268,5200,1,decide,1,0.0055450078566275166
269,5200,1,decision,2,0.007158309972820302
270,5200,1,deep,2,0.007441892181270179
271,5200,1,deeply,1,0.0055450078566275166
272,5200,1,deepness,1,0.01596167452329418
273,5200,1,defend,1,0.005102494832038161
274,5200,1,definitely,2,0.019829973552383355
275,5200,1,demands,1,0.006325112757301757
276,5200,1,depended,1,0.009914986776191678
277,5200,1,desk,2,0.008697142699519109
278,5200,1,desperate,1,0.008149174523294183
279,5200,1,despite,4,0.016726261050916184
280,5200,1,devoted,1,0.007706661498704828
281,5200,1,did,25,0.017662892045403278
282,5200,1,didnt,8,0.008934235391747383
283,5200,1,different,4,0.015473196116356685
284,5200,1,difficult,3,0.011604897087267514
285,5200,1,difficulty,3,0.018140063241307517
