term_str,n,n_chars,p,i,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,porter_stem,stem_snowball,stem_lancaster
1,1,1,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,1,1,1
10,1,2,2.3635465488675068e-06,18.690615291190333,CD,CD,1,{'CD'},1,{'CD'},0,10,10,10
15,1,2,2.3635465488675068e-06,18.690615291190333,CD,CD,1,{'CD'},1,{'CD'},0,15,15,15
2,1,1,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,2,2,2
25,1,2,2.3635465488675068e-06,18.690615291190333,CD,CD,1,{'CD'},1,{'CD'},0,25,25,25
3,1,1,2.3635465488675068e-06,18.690615291190333,CD,CD,1,{'CD'},1,{'CD'},0,3,3,3
430,1,3,2.3635465488675068e-06,18.690615291190333,CD,CD,1,{'CD'},1,{'CD'},0,430,430,430
536,1,3,2.3635465488675068e-06,18.690615291190333,CD,CD,1,{'CD'},1,{'CD'},0,536,536,536
6,1,1,2.3635465488675068e-06,18.690615291190333,CD,CD,1,{'CD'},1,{'CD'},0,6,6,6
a,7464,1,0.01764151144074707,5.824882020338575,DT,DT,5,"{'JJ', 'DT', 'VB', 'NN', 'RB'}",7,"{'JJ', 'DT', 'NNS', 'NN', 'NNP', 'RB', 'VBP'}",1,a,a,a
aback,2,5,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,aback,aback,aback
abandon,6,7,1.418127929320504e-05,16.105652790469176,VB,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VB', 'VBP'}",0,abandon,abandon,abandon
abandoned,21,9,4.963447752621764e-05,14.298297868411574,VBN,VB,4,"{'JJ', 'NN', 'VB', 'RP'}",5,"{'JJ', 'VBN', 'VBD', 'RP', 'NN'}",0,abandon,abandon,abandon
abandoning,7,10,1.6544825842072546e-05,15.88326036913273,VBG,VB,1,{'VB'},1,{'VBG'},0,abandon,abandon,abandon
abandons,1,8,2.3635465488675068e-06,18.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,abandon,abandon,abandon
abashed,1,7,2.3635465488675068e-06,18.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,abash,abash,abash
abated,2,6,4.7270930977350136e-06,17.690615291190333,VBP,VB,2,"{'NN', 'VB'}",2,"{'NNS', 'VBP'}",0,abat,abat,ab
abating,1,7,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,abat,abat,ab
